adjacent_field,analogy_gap,paper,year,venue_or_status,mechanism,key_result,analogy_relevance,url,priority
reasoning-intensive-retrieval,G2,BRIGHT,2025,ICLR,"reasoning-conditioned retrieval","general retrievers fall sharply on inferential relevance; explicit reasoning improves retrieval up to 12.2 nDCG@10 points","surface similarity is an inadequate proxy for structurally useful sources",https://proceedings.iclr.cc/paper_files/paper/2025/hash/7a0f8055c838df8e62329a76c7c6403d-Abstract-Conference.html,core
reasoning-intensive-retrieval,G2,"A Survey of Reasoning-Intensive Retrieval",2026,ACL,"field taxonomy","defines relevance through latent inferential links rather than semantic similarity","shows G2 overlaps a crystallizing IR subfield",https://aclanthology.org/2026.acl-long.1949/,core
reasoning-intensive-retrieval,G2,RA-RFT,2026,preprint,"retriever trained for expected reasoning benefit + RFT","AIME 2025 avg@32 +7.1/+2.8 over GRPO on Qwen3-1.7B/4B","directly optimizes source examples for reasoning utility",https://arxiv.org/abs/2606.13680,core
reasoning-intensive-retrieval,G2,UR2,2026,ACL,"joint retrieval and reasoning RL","outperforms RAG/RL baselines across multiple task families","retrieval becomes part of reasoning policy rather than preprocessing",https://aclanthology.org/2026.acl-long.580/,watch
adaptive-retrieval,G2,ReaLM-Retrieve,2026,preprint,"step-level uncertainty + learned retrieval intervention","reported +10.1 F1 over standard RAG with 47% fewer retrieval calls","analogical search may need to intervene mid-reasoning",https://arxiv.org/abs/2604.26649,watch
abstention-control,G3,AbstentionBench,2025,NeurIPS,"selective abstention benchmark","reasoning fine-tuning degrades abstention by about 24% on average","strong reasoning can amplify bad-transfer elaboration without better veto control",https://arxiv.org/abs/2506.09038,core
abstention-control,G3,"Answering the Unanswerable Is to Err Knowingly",2026,AAAI,"cognitive monitoring + inference intervention","models can detect flaws internally yet still answer","detecting mismatch and vetoing transfer are separate policies",https://ojs.aaai.org/index.php/AAAI/article/view/40496,core
abstention-control,G3,"Bridging the Detection-to-Abstention Gap",2026,preprint,"answerability judgment + trajectory termination","explicitly separates recognition of insufficiency from action","direct analogue for mismatch-detection vs analogy-veto",https://doi.org/10.48550/arXiv.2605.28070,core
abstention-control,G3,Abstain-R1,2026,Findings ACL,"clarification-aware RLVR","3B model improves abstention/clarification while preserving answerable performance","suggests rejection can be trained with verifiable reward",https://aclanthology.org/2026.findings-acl.985/,core
operator-induction,G4a,Compositional-ARC,2026,ICLR,"meta-learning for compositionality","5.7M model generalizes to unseen compositions and beats frontier LLMs in reported setup","new composition of known operators is learnable with specialized curricula",https://iclr.cc/virtual/2026/poster/10008090,core
operator-induction,G4b,"Correct Chains Wrong Answers / Novel Operator Test",2026,preprint,"novel operator naming + deep composition","correct reasoning chains can still yield wrong declared outputs","operator reasoning and output control dissociate",https://arxiv.org/abs/2604.13065,watch
rule-induction,G4b,"A Foundation Model for Zero-Shot Logical Rule Induction",2026,preprint,"domain-agnostic predicate statistics + differentiable rule execution","zero-shot rule induction across predicate identities/tasks","relevant route to surface-independent operator induction",https://arxiv.org/abs/2605.04916,watch
latent-operator-induction,G4b,BDH-CQ,2026,preprint,"recurrent memory + latent iterative reasoning","150M model reaches 29.5% ARC-AGI-1 pass@2 at reported $0.00070/task","demonstration-conditioned operator schemas without parameter updates",https://arxiv.org/abs/2608.09888,core
object-centric-visual,G1;G5,OCRA,2023,NeurIPS,"object-centric representations + relational abstraction","strong systematic generalization on abstract visual tasks","representation and relations must be jointly learned from pixels",https://arxiv.org/abs/2306.02500,core
compositional-visual,G5,CARV,2026,preprint,"multi-source visual rule extraction + composition","Gemini-2.5 Pro 40.4% vs reported human 100%","decomposition/composition remains a hard analogical boundary",https://arxiv.org/abs/2603.27958,core
uncertain-visual,G1;G5,I-RAVEN-X,2025,preprint,"longer rules + wider attributes + perceptual uncertainty","reasoning models remain highly vulnerable under uncertainty","more reasoning compute does not repair bad perceptual representations",https://arxiv.org/abs/2510.17496,core
neurosymbolic-visual,G1;G5,"Compositional Neuro-Symbolic Reasoning",2026,preprint,"object extraction + neural transformation proposal + symbolic consistency filtering","ARC-AGI-2 base LLM 16% to 24.4%; 30.8% with combined solver","modular proposal/verification can outperform pure end-to-end generation",https://arxiv.org/abs/2604.02434,watch
