gap_id,gap_name,pipeline_stage,status,confidence,diagnostic_transition,representative_evidence,why_it_matters
G1,representation selection,representation,open,high,"same task; multiple plausible relational decompositions","YARN; Opielka 2025; KiVA; CARV","mapping quality depends on a representation the model must construct rather than receive"
G2,relational retrieval at scale,retrieval,"open; actively attacked",high,"large source bank; low surface similarity; high structural fit","AnaloBench; Sen et al. 2026; CANA/ADR; RA-RFT","semantic retrieval breadth does not guarantee structurally useful source selection"
G3,matching and rejection,matching/adjudication,open,very-high,"plausible candidate set containing hard negatives","Sen et al. 2026; narrative matching failures","LLMs often over-apply internally coherent but causally misaligned analogies"
G4,novel-operation generalization,generalization,open,very-high,"new relational operator rather than new operands/symbols","Lewis & Mitchell 2025; Stevenson et al. 2026; Hellwig et al. 2026","models can transfer familiar procedures without learning a general procedure for new transformations"
G5,grounded compositional analogy,"perception;mapping;projection",open,high,"raw vision + perceptual noise + multi-rule composition","KiVA; I-RAVEN-X; CARV","reasoning degrades when relation extraction must be grounded in noisy perception"
G6,diversity without quality collapse,source-generation,open,high,"increase domain distance/diversity while preserving usefulness","Shen et al. Aug 2026; Shen et al. science AR 2026","open-world analogy needs broad search without arbitrary remote comparisons"
G7,unified analogical training objective,learning,active,medium-high,"train retrieval + mapping + selection + transfer + validation jointly","SAL; meta-learning/curriculum; relational architectures; RA-RFT","current successes optimize fragments of the pipeline and remain task-specific"
G8,calibrated analogical uncertainty,"adjudication;validation",open,high,"allow no-valid-analogy and measure calibration","Sen et al. 2026; hard-negative gap","a mature system must know when no candidate licenses transfer"
G9,autonomous validation,"validation;discovery",frontier,medium,"transferred hypothesis -> executable test -> evidence update","Larraz & Corma 2026; Shen et al. science AR 2026; CANA","current discovery systems expand search but still rely on external scaffolds/evaluators"
G10,continual analogical memory,"retrieval;learning",frontier,medium,"successful/failed analogies alter future representation and retrieval","agentic retrieval and case-memory adjacent work","vector-store accumulation is not yet demonstrated as learning a reusable analogy policy"
G11,multi-analogy integration,"integration;validation",frontier,medium-high,"combine partially informative analogies with dependence control","CANA/ADR cross-analogy confirmation","multiple agreeing analogies may share correlated errors and create false confirmation"
