program,core_people,institutions_or_network,primary_focus,maturity,strongest_gaps,main_missing_layer,representative_work
"Relational architecture","Awni Altabaa; John Lafferty; Taylor Webb; Jonathan D. Cohen","Yale; UCLA; Princeton; collaborators","relational inductive bias; explicit relational attention; object/sensory-relational separation",high,"G1;G5;G4","retrieval; adjudication; memory; multi-turn control","Abstractors; Relational Bottleneck; Dual Attention Transformer; OCRA"
"Human generalization / cognitive evaluation","Claire E. Stevenson; Han L. J. van der Maas; Melanie Mitchell; Alexandra Pafford; Molly Petersen","University of Amsterdam; Santa Fe Institute; collaborators","far transfer; human comparison; benchmark validity; field synthesis","high diagnostic / medium engineering","G4; benchmark calibration","architecture/post-training controller","TACL 2026 child-transfer study; Modelling Analogies and Analogical Reasoning"
"Relational mechanistic interpretability","Taewhoo Lee; Minju Song; Chanwoong Yoon; Jungwoo Park; Jaewoo Kang","Korea University; AIGEN Sciences / DMIS","hidden relation representations; patching; alignment; application failure","medium emerging","mapping;projection;G1","retrieval; rejection; control policy","The Curious Case of Analogies (AAAI 2026)"
"Causal / active reasoning / AI-scientist control","Yongqiang Chen; Kun Zhang; collaborators","CLeaR; MBZUAI; Carnegie Mellon; collaborators","active information seeking; belief tracking; causal mechanism representation; analogical deep research","high adjacent / medium direct analogy","G2;G9;G11;G1","general veto; applicability memory; pipeline failure attribution","Information Self-Locking; CANA / ADR"
"Analogical search for AI for Science","Andrew Shen; Shaul Druckmann; James Zou","Stanford University","cross-domain solution search; diversity; biomedical validation","medium high-value application","G6;G9","autonomous selection/rejection; failure-driven update","Unlocking LLM Creativity in Science through Analogical Reasoning"
"Reasoning-aware retrieval + post-training","Zilin Xiao; Qi Ma; Chun-cheng Jason Chen; Xintao Chen; Avinash Atreya; Hanjie Chen; Vicente Ordonez","Meta Superintelligence Labs; Rice University","reasoning-utility retrieval; reinforcement fine-tuning","early strategic","G2;G7","open-world mapping; rejection; rebinding; memory","RA-RFT"
"Agentic Analogical Reasoning","Tianhui Ma; Chuan Qin; Liyi Chen; Qimeng Wang; Chengqiang Lu; Yan Gao; Yi Wu; Yao Hu; Hui Xiong","affiliations not yet normalized in repo","multi-turn thinking→analogizing→contextualizing trajectories; analogical trajectory training","watch / submission","G7;G2","calibrated rejection; validation; persistent memory; representation revision","Agentic Analogical Reasoning for LLMs (ICLR 2026 submission)"
"LLM abstraction + explicit structural mapping","Mohammadhossein Khojasteh; Yifan Jiang; Stefano De Giorgis; Frank van Harmelen; Filip Ilievski","knowledge-representation / narrative reasoning collaboration","LLM abstraction levels + explicit mapping","medium emerging","G1;mapping","dynamic abstraction choice; retrieval; rejection; memory","YARN"
"Modern Case-Based Reasoning / CBR-LLM","Nirmalie Wiratunga; David Leake; Kerstin Bach; Ralph Bergmann; Jean Lieber; Barry Smyth; collaborators","ICCBR community; Robert Gordon University; Indiana University; NTNU; Trier/DFKI; LORIA; UCD; others","retrieve; adapt/reuse; failure detection; revise; retain; structured experiential memory; LLM-CBR integration","high mature neighboring field","G2;G3;G10;G7","open-world endogenous representation; foundation-model integration across heterogeneous domains","ICCBR 2026; CARM; adaptation-guided retrieval; CAST; CBR-LLM manifesto"
"Causal transportability / causal abstraction","Yorgos Felekis; Paris Giampouras; Fabio Massimo Zennaro; Theodoros Damoulas; broader transportability community","causal inference / causal abstraction community","formal source-target transfer validity; exact/approximate transport maps; negative-transfer avoidance; uncertainty certificates","high formal adjacent field","G3;G8;G9","causal representation/graph/intervention assumptions are far stronger than open-world foundation-model analogy","Generalised Transportability via Causal Abstractions; Transfer Learning through Causal Transportability"
