id,year,history_operation,source_type,ai_operation,analogy_role,temporal_control,human_verification,actual_historical_research,main_value,main_limit,url
"griesshaber-streb-patents",2026,"historical dataset construction","archival image scans; German patent registers 1877-1918","multimodal OCR + structured extraction","substrate only","historical source dates fixed","gold benchmark + RA comparison",yes,"creates 306070 patent records from 9562 scans; changes feasible empirical scale","researcher fixes extracted variables; no autonomous comparative schema",https://arxiv.org/abs/2512.19675
"knutsen-historical-db",2026,"event/actor database construction","Danish/Norwegian biographical dictionaries","fine-tuned Llama → action/actor event lines","relational substrate","historical dates encoded with uncertainty","extensive manual post-processing",yes,"~100k structured event lines from ~6000 biographies; reproducible local model workflow","ontology/primitives supplied by database design; validation remains bottleneck",https://doi.org/10.1093/llc/fqag057
"greif-ocr-ner",2025,"source transcription and entity extraction","German city directories 1754-1870","multimodal OCR; OCR post-correction; NER","substrate only","source-period text","benchmarking",yes,"unifies transcription and structured extraction at low CER","semantic/epistemic fidelity can diverge from character accuracy",https://arxiv.org/abs/2504.00414
"levchenko-russian-ocr",2025,"historical corpus construction / representation audit","18th-century Russian Civil-font books","multimodal OCR evaluation","negative constraint on representation","historical orthography central","gold comparison",yes,"shows models can outperform OCR while introducing historically meaningful misreadings","modern-language priors can erase period-specific distinctions",https://doi.org/10.63744/SKoZVUHQbtE7
"griesshaber-ogilvie-guilds",2025,"comparative institutional history","colonial Mexican and Peruvian guild ordinances","LLM digitization + quantitative institutional coding","comparison-schema substrate; quasi-analogical","period sources compared across transplantation contexts","reproducible coding/analysis",yes,"reveals continuities and differences in human-capital/product-quality regulation not readily visible with standard methods","historically salient dimensions are researcher-specified",https://cepr.org/publications/dp20556
"li-past-meets-present",2025,"historical analogy acquisition","event descriptions + historical event corpus","retrieve/generate analogous historical events + self-reflection","direct candidate-source analogy","weak; contemporary target may use full historical knowledge","human + multidimensional evaluation",partial,"first explicit historical-analogy acquisition task; ACL Outstanding Paper","plausible event match is not source-critical or claim-level transfer validity",https://aclanthology.org/2025.acl-long.200/
"tsvetkova-decision-markers",2026,"historical/political discourse analysis","~1100 official documents from Clinton Putin Xi","LLM screening for actor-articulated historical analogies","analogy as historical evidence/object","chronology relative to policy decisions","all candidate analogies manually reviewed",yes,"high-recall corpus screening finds rare analogical framing for close historical interpretation","association with later decisions does not by itself establish causal influence",https://doi.org/10.1057/s41599-026-06930-9
"chen-adr-cana",2026,"applied history / foresight","historical events + ongoing target situations","structural decomposition; mechanism-based retrieval; cross-analogy integration","direct multi-source causal analogy","target event intentionally incomplete at historical/current cutoff","benchmark + structured framework",partial,"uses multiple historical analogies as distributed evidence for hidden mechanisms","foresight-oriented; independence and transfer-validity assumptions remain strong",https://arxiv.org/abs/2607.13602
"larraz-corma-fcc",2026,"historical counterfactual reconstruction","pre-1936 technical literature around later 1942 FCC breakthrough","temporally bounded RAG + analogical guidance + activation steering","analogy as constrained rediscovery mechanism","strong retrieval cutoff at pre-1936 corpus","known later solution provides benchmark",partial,"history provides epistemic cutoff and known outcome for controlled reasoning experiments","pretrained model may retain post-cutoff latent knowledge despite RAG constraint",https://doi.org/10.1038/s41467-026-70873-7
"gao-prohist",2026,"professional historical reasoning benchmark","expert-curated Chinese imperial-examination history questions","evaluate evidence-intensive reasoning across 18 LLMs","validity/evaluation layer","historical span across 8 dynasties","10891 expert rubrics",no,"makes evidentiary reasoning rather than trivia the benchmark target","still question/rubric benchmark rather than open primary-source research workflow",https://aclanthology.org/2026.acl-long.1378/
"trzoss-polish-matura",2026,"historical source interpretation benchmark","Polish history Matura sources/questions/essays","LLM evaluation across source modalities","negative constraint on analogy/source use","strong chronological content","human population comparison",no,"isolates source decontextualization and temporal disorientation despite high scores","school-exam setting is narrower than archival research",https://arxiv.org/abs/2608.12343
"bungum-temporal-reframing",2025,"temporal reframing","1940 Norwegian trivia book","answer questions as if current time were 1940","negative constraint on presentism","explicit 1940 epistemic frame","sample human checking",no,"simple test of historically available truth vs present-day truth","not source-critical or research-grade historical inference",https://arxiv.org/abs/2511.04432
"zhao-contentious-language",2026,"historical corpus annotation","Dutch historical contentious-language corpus","context-dependent classification with LLMs","negative constraint on historical semantics","historical semantic shift central","human annotation comparison",yes,"near-human explicit labeling but clear divergence when historical context/semantic shift matters","classification task only; demonstrates context failure rather than solving it",https://aclanthology.org/2026.lrec-1.852/
