id,year,date,pipeline_stage,task_family,method_family,evidence_type,title,authors,venue,status,url,source_given,far_transfer,open_ended,human_baseline,main_finding,priority
webb-2023,2023,2023-07-31,"mapping;projection;validation","digit-matrix;letter-string;verbal;story","zero-shot LLM evaluation","behavioral;human-comparison","Emergent analogical reasoning in large language models","Taylor W. Webb; Keith J. Holyoak; Hongjing Lu","Nature Human Behaviour 7:1526-1541",peer-reviewed,https://doi.org/10.1038/s41562-023-01659-w,yes,partial,no,yes,"Strong GPT-3 performance across multiple analogy tasks launched the modern emergence debate.",core
yasunaga-2023,2023,2023-10-03,"retrieval-generation;projection","math;code;BIG-Bench","analogical prompting","inference-method","Large Language Models as Analogical Reasoners","Michihiro Yasunaga; Xinyun Chen; Yujia Li; Panupong Pasupat; Jure Leskovec; Percy Liang; Ed H. Chi; Denny Zhou",arXiv,preprint,https://arxiv.org/abs/2310.01714,no,partial,yes,no,"Self-generating relevant exemplars before solving improves reasoning; analogy used as an inference strategy.",core
storyanalogy-2023,2023,2023-10-19,"mapping;generation","narrative","benchmark;fine-tuning","benchmark;behavioral","StoryAnalogy: Deriving Story-level Analogies from Large Language Models to Unlock Analogical Understanding","Cheng Jiayang et al.",arXiv,preprint,https://arxiv.org/abs/2310.12874,yes,yes,partial,yes,"24K story pairs show story-level analogy identification remains difficult; fine-tuning improves generation.",core
sourati-2024,2024,2024-09-07,"relation-extraction;mapping;validation","narrative","benchmark;prompting","behavioral;human-comparison","ARN: Analogical Reasoning on Narratives","Zhivar Sourati; Filip Ilievski; Pia Sommerauer; Yifan Jiang","TACL 12:1063-1086",peer-reviewed,https://aclanthology.org/2024.tacl-1.59/,yes,yes,no,yes,"Near analogies are much easier than far system analogies; few-shot/CoT help but leave a large human gap.",core
ye-2024,2024,2024-11,"retrieval;mapping;validation","long narrative","benchmark","behavioral;retrieval","AnaloBench: Benchmarking the Identification of Abstract and Long-context Analogies","Xiao Ye; Andrew Wang; Jacob Choi; Yining Lu; Shreya Sharma; Lingfeng Shen; Vijay Murari Tiyyala; Nicholas Andrews; Daniel Khashabi",EMNLP 2024,peer-reviewed,https://aclanthology.org/2024.emnlp-main.725/,no,yes,partial,yes,"Scaling gives limited gains for long scenarios and retrieval from large story banks.",core
altabaa-2024,2024,,"relation-extraction;mapping;learning","synthetic;math","architecture;relational cross-attention","training;OOD generalization","Abstractors and relational cross-attention: An inductive bias for explicit relational reasoning in Transformers","Awni Altabaa; Taylor Webb; Jonathan D. Cohen; John Lafferty",ICLR 2024,peer-reviewed,https://openreview.net/forum?id=XNa6r6ZjoB,yes,yes,no,no,"Explicit relational attention improves sample efficiency and systematic relational generalization.",core
webb-2024-rb,2024,2024-09,"relation-extraction;learning","cross-domain relational","architecture theory","synthesis","The relational bottleneck as an inductive bias for efficient abstraction","Taylor W. Webb et al.","Trends in Cognitive Sciences 28(9):829-843",peer-reviewed,https://doi.org/10.1016/j.tics.2024.04.001,na,yes,no,no,"Frames separation of relational from object-level information as a general inductive bias for abstraction.",core
lewis-mitchell-2025,2025,2025-02-19,"validation;generalization","letter-string;digit-matrix;story","counterfactual benchmark","behavioral;human-comparison","Evaluating the Robustness of Analogical Reasoning in Large Language Models","Martha Lewis; Melanie Mitchell",TMLR,peer-reviewed,https://openreview.net/forum?id=t5cy5v9wph,yes,yes,no,yes,"GPT analogy performance drops sharply under task variants that preserve abstract structure; humans are more robust.",core
yiu-2025,2025,2025-03-05,"relation-extraction;projection;validation","visual;multimodal","benchmark","behavioral;human-child comparison","KiVA: Kid-Inspired Visual Analogies for Testing Large Multimodal Models","Eunice Yiu; Maan Qraitem; Anisa Noor Majhi; Charlie Wong; Yutong Bai; Shiry Ginosar; Alison Gopnik; Kate Saenko",ICLR 2025,peer-reviewed,https://deepmind.google/research/publications/166018/,yes,yes,no,yes,"LMMs identify what changed better than how it changed or how to extrapolate the rule; children/adults are much stronger.",core
zhou-2025,2025,2025-02-03,"learning;projection","reasoning benchmarks","self-supervised analogical learning","training","Self-supervised Analogical Learning using Language Models","Ben Zhou; Sarthak Jain; Yi Zhang; Qiang Ning; Shuai Wang; Yassine Benajiba; Dan Roth",arXiv,preprint,https://arxiv.org/abs/2502.00996,generated,yes,no,no,"Generates surface-distinct cases sharing a reasoning process and uses extracted solution schemas as supervision.",core
opiełka-2025,2025,2025-03-05,"representation;relation-extraction;projection","verbal;abstract relation","mechanistic interpretability","probes;steering","Analogical Reasoning Inside Large Language Models: Concept Vectors and the Limits of Abstraction","Gustaw Opiełka; Hannes Rosenbusch; Claire E. Stevenson",arXiv,preprint,https://arxiv.org/abs/2503.03666,yes,yes,no,no,"Some concept representations are invariant and causally steerable; more abstract relations lack stable linear representations.",core
webb-2025-pnas,2025,2025-05-27,"execution;validation","counterfactual letter-string","tool-augmented LLM","behavioral;human-comparison","Evidence from counterfactual tasks supports emergent analogical reasoning in large language models","Taylor W. Webb; Keith J. Holyoak; Hongjing Lu","PNAS Nexus 4(5):pgaf135",peer-reviewed,https://doi.org/10.1093/pnasnexus/pgaf135,yes,yes,no,yes,"Code execution restores performance on shuffled-alphabet variants, showing some failures arise from auxiliary counting/indexing demands.",core
johnson-2025,2025,2025-07,"relation-extraction;mapping","verbal proportional","benchmark","human-child comparison","Do large language models solve verbal analogies like children do?","Tamar Johnson; Mathilde ter Veen; Rochelle Choenni; Han van der Maas; Ekaterina Shutova; Claire E. Stevenson",CoNLL 2025,peer-reviewed,https://aclanthology.org/2025.conll-1.40/,yes,partial,no,yes,"LLMs perform strongly but rely heavily on association when relational and associative answers compete.",core
altabaa-2025-dat,2025,2025-07,"relation-extraction;mapping;learning","synthetic;language;vision","Dual Attention Transformer","training;efficiency","Disentangling and Integrating Relational and Sensory Information in Transformer Architectures","Awni Altabaa; John Lafferty",ICML 2025,peer-reviewed,https://proceedings.mlr.press/v267/altabaa25a.html,yes,yes,no,no,"Separate sensory and relational attention channels improve data and parameter efficiency across relational tasks.",core
musker-2025,2025,2025-12,"mapping;validation","novel analogical task","LLM human modeling","behavioral;human-comparison","LLMs as models for analogical reasoning","Sam Musker; Alex Duchnowski; Raphaël Millière; Ellie Pavlick","Journal of Memory and Language 145:104676",peer-reviewed,https://doi.org/10.1016/j.jml.2025.104676,yes,partial,no,yes,"Some LLMs reach human-level accuracy but display different sensitivity profiles, separating human-level from human-like reasoning.",core
minegishi-2026,2026,2026-02-02,"mapping;projection;learning","synthetic;ICL","mechanistic geometry","training-dynamics;mechanistic","Emergent Analogical Reasoning in Transformers","Gouki Minegishi; Jingyuan Feng; Hiroki Furuta; Takeshi Kojima; Yusuke Iwasawa; Yutaka Matsuo",arXiv,preprint,https://arxiv.org/abs/2602.01992,yes,yes,no,no,"Analogical behavior emerges through learnable structural alignment and relation-preserving transformations in Transformer representations.",core
sen-2026,2026,2026-02-10,"retrieval;mapping;matching","strategy;naturalistic cases","LLM-human comparison","behavioral;human-comparison","Can LLMs Aid Analogical Reasoning for Strategic Decisions? A Comparative Study","Prothit Sen; Maciej Workiewicz; Phanish Puranam","Strategy Science 11(1):118-136",peer-reviewed,https://doi.org/10.1287/stsc.2025.0426,no,yes,yes,yes,"LLMs show high recall but low precision in candidate analogy matching; humans show the reverse profile.",core
lee-2026,2026,2026-03-14,"relation-extraction;mapping;projection","proportional;story","mechanistic interpretability","causal intervention;probes","The Curious Case of Analogies: Investigating Analogical Reasoning in Large Language Models","Taewhoo Lee; Minju Song; Chanwoong Yoon; Jungwoo Park; Jaewoo Kang","AAAI 2026 40(37):31492-31500",peer-reviewed,https://doi.org/10.1609/aaai.v40i37.40414,yes,yes,no,no,"Separates missing relational information, application failures, and degraded structural alignment using patching and probes.",core
khojasteh-2026,2026,2026-03-31,"representation;mapping","narrative","LLM + explicit structural mapping","hybrid/neuro-symbolic","Enhancing Structural Mapping with LLM-derived Abstractions for Analogical Reasoning in Narratives","Mohammadhossein Khojasteh; Yifan Jiang; Stefano De Giorgis; Frank van Harmelen; Filip Ilievski",arXiv,preprint,https://arxiv.org/abs/2603.29997,yes,yes,no,no,"Combines LLM abstractions with explicit mapping; abstraction-level selection remains a major bottleneck.",core
larraz-2026,2026,2026-04-03,"retrieval-activation;projection","technical scientific discovery","RAG;human analogical guidance;activation steering","counterfactual discovery;causal intervention","Human analogical guidance amplifies LLM performance through cross-domain knowledge activation","Rafael Larraz; Avelino Corma","Nature Communications 17:4822",peer-reviewed,https://doi.org/10.1038/s41467-026-70873-7,no,yes,yes,no,"Analogical guidance activates remote cross-domain knowledge and enables historically unavailable technical solution generation.",core
hellwig-2026,2026,2026-04-07,"learning;mapping;projection;validation","letter-string","meta-learning;curriculum","training;mechanistic interpretability","Transformer See, Transformer Do: Copying as an Intermediate Step in Learning Analogical Reasoning","Philipp Hellwig; Willem Zuidema; Claire E. Stevenson; Martha Lewis",arXiv,preprint,https://arxiv.org/abs/2604.06501,yes,yes,no,no,"Copying subtasks and heterogeneous meta-training enable strong new-alphabet transfer; learned algorithm can be reconstructed and steered.",core
stevenson-2026,2026,2026-04,"validation;generalization","letter-string","human-model transfer benchmark","behavioral;human-child comparison","Can Large Language Models Generalize Analogy Solving Like Children Can?","Claire E. Stevenson; Alexandra Pafford; Han L. J. van der Maas; Melanie Mitchell","TACL 14:612-626",peer-reviewed,https://aclanthology.org/2026.tacl-1.28/,yes,yes,no,yes,"Children and adults transfer analogy solving to Greek and unfamiliar symbols; tested LLMs largely fail far transfer.",core
xiang-2026,2026,2026-04-27,"representation;interactive-learning;causal-transfer;validation","interactive causal discovery;multimodal","OpenLock human-model transfer benchmark","behavioral;human-comparison","Grounding Before Generalizing: How AI Differs from Humans in Causal Transfer","Liangru Xiang; Yuxi Ma; Zhihao Cao; Yixin Zhu; Song-Chun Zhu","Cognitive Science Society 2026",peer-reviewed,https://arxiv.org/abs/2604.24062,learned-via-interaction,yes,partial,yes,"Models show delayed or absent causal transfer and require environment-specific grounding before transfer gains emerge; humans use abstract causal structure from the first target attempt; visual input often hurts.",core
shen-science-2026,2026,2026-05-11,"source-generation;projection;discovery","biomedical science","analogical search","open-ended application","Unlocking LLM Creativity in Science through Analogical Reasoning","Andrew Shen; Shaul Druckmann; James Zou",arXiv,preprint,https://arxiv.org/abs/2605.11258,no,yes,yes,no,"Cross-domain analogy generation greatly increases diversity and novelty of scientific solution search and yields validated task gains.",latest
ra-rft-2026,2026,2026-06-11,"retrieval;learning;projection","mathematical reasoning","reasoning-aware retrieval + reinforcement fine-tuning","training;post-training","Learning to Reason by Analogy via Retrieval-Augmented Reinforcement Fine-Tuning","Zilin Xiao; Qi Ma; Chun-cheng Jason Chen; Xintao Chen; Avinash Atreya; Hanjie Chen; Vicente Ordonez",arXiv,preprint,https://arxiv.org/abs/2606.13680,retrieved,partial,no,no,"Trains retrieval by expected reasoning benefit rather than semantic overlap and couples retrieved analogous reasoning traces to RFT; AIME 2025 avg@32 +7.1/+2.8 over GRPO for Qwen3-1.7B/4B.",latest
petersen-2026,2026,,"field-wide","NLP;analogy","review/synthesis","field synthesis","Modelling Analogies and Analogical Reasoning: Connecting Cognitive Science Theory and NLP Research","Molly R. Petersen; Claire E. Stevenson; Lonneke van der Plas","TACL 14:711-732",peer-reviewed,https://aclanthology.org/2026.tacl-1.32/,na,yes,yes,no,"Current synthesis connecting analogy subprocesses to NLP challenges and emphasizing relational over entity-level similarity.",core
chairo-2026,2026,2026-07,"retrieval;rule-induction;projection","content moderation","end-to-end analogical retrieval + rule generation","application;training","CHAIRO: Contextual Hierarchical Analogical Induction and Reasoning Optimization for LLMs","Haotian Lu; Yuchen Mou; Bingzhe Wu",ACL 2026,peer-reviewed,https://aclanthology.org/2026.acl-long.1692/,no,partial,yes,yes,"End-to-end optimization of analogical retrieval and induced rules improves a real moderation application; evidence is task-specific.",watch
chen-2026,2026,2026-07-15,"representation;retrieval;matching;integration","foresight;historical events","causal agent;RAG","benchmark;agent application","Analogical Deep Research: Retrieving and Integrating Historical Analogies for Foresight Analysis","Yongqiang Chen; Guangyi Chen; Yuewen Sun; Kun Zhang",arXiv,preprint,https://arxiv.org/abs/2607.13602,no,yes,yes,no,"Mechanism alignment and cross-analogy confirmation improve open-world analogy retrieval and integration for foresight.",latest
shen-diversity-2026,2026,2026-08-04,"source-generation","open-domain analogy generation","LLM evaluation;causal information flow","behavioral;mechanistic","On the Diversity of Analogy Making in Large Language Models","Yuanhao Shen; Daniel Xavier de Sousa; Caio César Sifuentes Barcelos; Hongyu Guo; Xiaodan Zhu",arXiv,preprint,https://arxiv.org/abs/2608.03233,no,yes,yes,no,"Generated analogies are domain-homogeneous; increasing diversity often trades off against quality and appears controlled differently across models.",latest
aar-2026,2026,,"retrieval-generation;selection;contextualization;learning","reasoning-intensive datasets","multi-turn agentic analogical trajectories; trajectory optimization","training;agentic reasoning","Agentic Analogical Reasoning for Large Language Models","anonymous under double-blind review in public submission","ICLR 2026 submission",under-review,https://openreview.net/forum?id=0uj9pA5MqE,retrieved-or-generated,partial,no,no,"Treats analogy as iterative thinking→analogizing→contextualizing; trains generated and reweighted analogical trajectories to internalize multi-turn analogical reasoning; evidence remains submission-stage.",watch
