system_or_paper,year,status,endogenous_representation,adaptation_aware_retrieval,transfer_validity_or_applicability,uncertainty_or_abstention,typed_failure_diagnosis,rerepresentation_after_failure,persistent_memory_update,main_limit,url
"Causal Abstraction Learning based on Semantic Embedding",2025,ICML,"yes learned abstraction","no","causal consistency objective","partial via model discrepancy","no","no","no","structured probability-model setting; not open-language source retrieval",https://proceedings.mlr.press/v267/d-acunto25a.html
"Causal Abstraction under Lossy Representations",2025,ICML,"yes projected abstraction","no","yes causal query translation","partial","no","no","no","requires causal abstraction setting rather than open analogical cases",https://proceedings.mlr.press/v267/xia25a.html
"Grounding Before Generalizing",2026,CogSci,"yes via interaction","no","diagnostic only","no","behavioral diagnosis","target-specific grounding observed","no","shows grounding-dependent transfer rather than a corrective controller",https://arxiv.org/abs/2604.24062
RA-RFT,2026,preprint,"no","yes expected reasoning benefit","implicit outcome reward","no","no","no","training-time policy update","strong analogical post-training but no explicit applicability/validity decomposition",https://arxiv.org/abs/2606.13680
CASCADE,2026,preprint,"partial natural-language cases","yes contextual bandit utility","reward-defined reuse utility","no","no","no","yes case retention + retriever update","does not attribute reward to relational source-target assumptions",https://arxiv.org/abs/2605.06702
"CARM / failure-aware matching adaptation",2026,ICCBR,"structured explicit case representation","yes adaptation-aware","yes failure-aware acceptance","partial","partial","no","partial","powerful reuse control but relies on explicit/shared case structure",https://link.springer.com/book/10.1007/978-3-032-33865-5
"CANA / Analogical Deep Research",2026,preprint,"yes LLM-derived mechanism representation","yes mechanism-aware retrieval","yes task-specific filters + mechanism alignment","partial cross-analogy evidence","partial reflective diagnosis","partial","no","rich open-world scaffold but controller mostly hand-designed and no persistent learning",https://arxiv.org/abs/2607.13602
Skill-RAG,2026,preprint,"hidden failure representation","yes corrective retrieval","evidence sufficiency rather than source-target validity","yes exit","yes four failure skills","query rewriting/decomposition only","no","diagnoses RAG misalignment rather than relational transfer failure",https://arxiv.org/abs/2604.15771
Doctor-RAG,2026,preprint,"trajectory state","partial","no","no","yes earliest failure point + taxonomy","local repair","no","strong pipeline repair but not source-target mapping/applicability",https://arxiv.org/abs/2604.00865
AgentRx,2026,preprint,"trajectory/constraint representation","no","no","no","yes critical-step attribution","no","no","general agent failure diagnosis; no analogical transfer model",https://www.microsoft.com/en-us/research/publication/agentrx-diagnosing-ai-agent-failures-from-execution-trajectories/
BALAR,2026,preprint,"yes dynamic latent-state belief","information acquisition","belief adequacy","yes information gain","partial","yes dynamic state expansion","transient belief","shows representation revision primitive but no reusable source-case transfer",https://arxiv.org/abs/2605.05386
WorldEvolver,2026,preprint,"yes semantic heuristics","yes episodic retrieval","confidence-filtered foresight","yes selective foresight","mismatch-driven","yes semantic heuristic revision","yes episodic + semantic memory","world-model prediction loop rather than relational source-target analogy",https://arxiv.org/abs/2606.30639
"Generalised Transportability via Causal Abstractions",2026,preprint,"causal-model representation; compatible with learned abstraction line","no","yes exact/approximate formal transport","yes certified query intervals","model discrepancy","approximate map","no","requires known/shared causal variables graph interventions and mechanism-change structure",https://arxiv.org/abs/2608.15645
PAS,2026,ICLR,"pretrained feature representation","source/model selection","yes predicted adaptation transferability","score-based","no","no","no","domain-adaptation transferability estimation not relational analogy",https://proceedings.iclr.cc/paper_files/paper/2026/hash/d9b1e3397492bed99c1bf7c355726d8b-Abstract-Conference.html
"Safe ICL via Risk Control",2025,"preprint / ICLR 2026 submission","model hidden representations","demonstrations supplied","risk relative to zero-shot baseline","yes distribution-free risk control","no","dynamic early exit","no","controls harmful demonstrations but not structural source-target transfer validity",https://arxiv.org/abs/2510.02480
