id,year,problem_cluster,title,authors,venue,core_claim,ai_translation,url,priority
nappo-valente-2026,2026,field-synthesis,"Analogical Reasoning in Science","Francesco Nappo; Giovanni Valente","Cambridge Elements in the Philosophy of Science","Contemporary synthesis of epistemological questions about analogy in scientific discovery/inference","Use as field orientation; map philosophical questions to AI transfer-control states",https://doi.org/10.1017/9781009526494,core
nappo-2022,2022,confirmation,"Confirmation by analogy","Francesco Nappo","Synthese 200:35","Bayesian confirmation from analogy depends on background/context and a bridge hypothesis; similarities and dissimilarities bear on target support through an inferential structure","Do not identify similarity with confidence; model bridge hypothesis and projection relevance separately",https://doi.org/10.1007/s11229-022-03545-w,core
gebharter-osimani-2026,2026,formal-inference,"The Formal Structure(s) of Analogical Inference","Alexander Gebharter; Barbara Osimani","Erkenntnis 91:923-953","Different Bayesian structures capture different kinds of analogical inference; increasing believed similarity need not always increase confirmation","No universal monotone similarity→transfer-confidence rule",https://doi.org/10.1007/s10670-025-00934-8,core
zwirn-zwirn-2026,2026,background-relevance,"Reasoning by Analogy and by Difference","Hervé Zwirn; Denis Zwirn","Journal for General Philosophy of Science 57:135-167","Analogies are relative to domains/points of view; projection requires background meta-rules linking shared/different dimensions to projected dimensions","Add a projection-relevance/meta-rule layer between mapping and transfer; learn determination/separation/counter rules",https://doi.org/10.1007/s10838-025-09718-8,core
zhu-hong-2026,2026,context-revision,"Analogical reasoning from a context-update perspective","Wensheng Zhu; Zhengyi Hong","Cognitive Systems Research 97:101479","Treats source target and reasoning contexts as dynamically updated belief sets; similarity emerges through AGM-style expansion contraction revision; over-analogization can arise from information loss","Represent source/target/reasoning context as state; allow typed belief/representation revision and audit destructive contraction",https://doi.org/10.1016/j.cogsys.2026.101479,core
valente-et-al-2024,2024,representation-similarity,"Tales of twin cities: what are climate analogues good for?","Giovanni Valente; Hernán Bobadilla; Rawad El Skaf; Francesco Nappo","European Journal for Philosophy of Science 14:34","Climate analogue methods face source/target non-uniqueness, averaging, non-causal correlation and inferred-property problems","Stress-test representation/metric choice and projection-specific validity; use sets of plausible sources",https://doi.org/10.1007/s13194-024-00597-2,core
khosrowi-2023,2023,extrapolation-uncertainty,"Extrapolating from experiments, confidently","Donal Khosrowi","European Journal for Philosophy of Science 13:18","Extrapolation assumptions remain uncertain; support graphs articulate/manage interconnected uncertainty","Expose uncertainty over transfer assumptions/support links rather than one analogy confidence",https://doi.org/10.1007/s13194-023-00520-1,core
fuller-2025,2025,external-validity,"Problems of Extrapolation","Jonathan Fuller","The New Modern Medicine","Separates logical, evidential and practical problems of extrapolation; structural analogies can evidence causal comparability","Separate transfer logic from evidence supporting comparability and practical acceptance",https://doi.org/10.1093/9780190066178.003.0010,core
steel-2010,2010,mechanism-extrapolation,"A New Approach to Argument by Analogy: Extrapolation and Chain Graphs","Daniel Steel","Philosophy of Science 77(5):1058-1069","Generalizes mechanisms-based extrapolation with chain graphs and distinctive fingerprints to avoid spurious analogies/extrapolator circle","Localize likely mechanism breakpoints and use diagnostic target fingerprints rather than whole-source similarity",https://doi.org/10.1086/656543,core
guala-2010,2010,mechanism-extrapolation,"Extrapolation, Analogy, and Comparative Process Tracing","Francesco Guala","Philosophy of Science 77(5):1070-1082","Comparative process tracing refines analogical extrapolation by selectively comparing relevant mechanism stages","Bind projections to mechanism stages; inspect likely source-target divergence points and acquire targeted evidence",https://doi.org/10.1086/656541,core
negro-mudrik-2026,2026,analogical-abduction,"Extrapolating Other Consciousnesses: The Prospects and Limits of Analogical Abduction","Niccolò Negro; Liad Mudrik","Philosophy of Science 93:181-202","Analogy alone and IBE alone are inadequate; analogical abduction handles extrapolation while retaining problem-of-difference limits","Treat analogy as hypothesis generation embedded in explanatory competition",https://doi.org/10.1017/psa.2025.10104,core
gibson-2025,2025,representation-revision,"Conceptual revision: how Darwin's analogy supported his theory","True Gibson","Biology & Philosophy 40:16","The same broad analogy changed evidential role only after substantive conceptual revisions; formal structure alone misses this","Allow failed analogy to trigger representation/concept revision before remapping",https://doi.org/10.1007/s10539-025-09988-y,core
votsis-2025,2025,ai-representation-change,"Concept and Feature Change in Scientific and Deep Neural Net Representations","Ioannis Votsis","Proceedings of the Annual Meeting of the Cognitive Science Society","Compares methodological practices for concept change in scientific representations and feature change in DNN-procured representations; argues for methodological cross-pollination","Treat DNN feature/relation revision as an epistemically assessable operation rather than opaque retraining",https://escholarship.org/uc/item/13t3k5v6,core
herfeld-2024,2024,model-transfer,"Model Transfer in Science","Catherine Herfeld","The Routledge Handbook of Philosophy of Scientific Modeling","Surveys what is transferred across scientific domains and how model transfer relates to target similarity adaptation and scientific progress","Type the transfer object and separate formal/model-strategy reuse from causal or outcome transfer",https://doi.org/10.4324/9781003205647-24,core
herfeld-2025,2025,model-transfer,"Model Transfer in the Recent History of Economics: The Case of Rational Choice Models","Catherine Herfeld","Perspectives on Science 33(5):605-651","Shows model forms migrate and are adapted across domains rather than simply copied; transfer can reshape target representation","Track model lineage adaptation and representational dependence among apparently independent source domains",https://doi.org/10.1162/posc.a.8,watch
nyrup-2020,2020,pursuit-worthiness,"Of Water Drops and Atomic Nuclei: Analogies and Pursuit Worthiness in Science","Rune Nyrup","British Journal for the Philosophy of Science 71(3):881-903","Analogy can justify pursuit by transferring a well-understood modelling strategy without thereby confirming a target hypothesis","Separate GENERATE/PURSUE rewards from BELIEVE/PROJECT/ACT permissions",https://doi.org/10.1093/bjps/axy036,core
boniolo-et-al-2023,2023,similarity-metrics,"Prediction via Similarity: Biomedical Big Data and the Case of Cancer Models","Fabio Boniolo; Giovanni Boniolo; Giovanni Valente","Philosophy & Technology","kNN prediction depends on geometrical similarity metrics whose epistemic reliability must be assessed","Treat retrieval metric/feature space as part of the scientific hypothesis and benchmark it",https://doi.org/10.1007/s13347-023-00608-9,watch
