evidence_id,date,capability_or_gap,paper_or_benchmark,result,interpretation,url
E01,2026-02-10,matching-rejection,"Sen; Workiewicz; Puranam - Strategic Decisions","With analogy hints LLM recall often ~1.0 while humans retain higher precision; reasoning models can produce internally coherent but causally misaligned matches","Retrieval breadth is ahead of adjudication; matching is a distinct bottleneck",https://doi.org/10.1287/stsc.2025.0426
E02,2025-09-08,grounded-compositional,"I-RAVEN-X","o3-mini 86.6% -> 17.0%; DeepSeek-R1 80.6% -> 23.2%; ARLC 98.6% -> 88.0%; o3-mini uses 3.4x more reasoning tokens","Perceptual/relational representation cannot be repaired by test-time reasoning alone",https://openreview.net/forum?id=ZcdBwzcBmV
E03,2026-03-30,grounded-compositional,"CARV","Gemini-2.5 Pro 40.4% vs reported human 100% on 5,500 compositional visual analogies","Multi-rule composition remains far from human robustness",https://arxiv.org/abs/2603.27958
E04,2026-06-11,relational-retrieval,"RA-RFT","Reasoning-benefit retriever + reinforcement fine-tuning improves AIME 2025 average@32 by 7.1 and 2.8 points over GRPO for Qwen3-1.7B and Qwen3-4B","Retrieval objective is beginning to move from semantic similarity to downstream reasoning utility",https://arxiv.org/abs/2606.13680
E05,2026-05-11,open-world-discovery,"Unlocking LLM Creativity in Science through Analogical Reasoning","90-173% improvements in diversity metrics; novel solutions >50% vs as low as 1.6% for baselines; four biomedical implementation cases","Analogy is already useful as a search-space expansion operator before end-to-end reliability is solved",https://arxiv.org/abs/2605.11258
E06,2026-04-03,open-world-discovery,"Larraz & Corma - FCC counterfactual","Autonomous success <=10% in the reported setup while explicit structured analogical scaffolding reaches 20/20","Cross-domain knowledge can be activated by analogy but autonomous source/conception selection remains weak",https://doi.org/10.1038/s41467-026-70873-7
E07,2026-07-15,relational-retrieval,"Analogical Deep Research / CANA","Mechanism alignment and cross-analogy confirmation improve open-world historical-analogy retrieval/integration by up to 10%","Surface retrieval is insufficient; explicit mechanism-oriented search helps",https://arxiv.org/abs/2607.13602
E08,2026-08-04,source-generation,"Diversity of Analogy Making in LLMs","Ten state-of-the-art models show domain homogeneity; diversity interventions often trade quality for breadth","Candidate-source search space is itself a bottleneck",https://arxiv.org/abs/2608.03233
E09,2026-04-07,novel-operation-generalization,"Transformer See Transformer Do","Small meta-trained Transformer transfers to new alphabets and some learned compositions but not completely novel transformations","Surface-symbol transfer is easier than learning a general operator-discovery procedure",https://arxiv.org/abs/2604.06501
E10,2026-03-14,representation-projection,"The Curious Case of Analogies","Causal interventions separate relation encoding from application and structural alignment failures","Correct relational information can exist without correct analogical use",https://doi.org/10.1609/aaai.v40i37.40414
